comment_normalized	hate	spam	obscene	class
تکرار ساعت چنده	0	0	0	clean
ساعت چنده برنامتون	0	0	0	clean
لطفاا کیر کلفت فقط از شیراز دایرکت فقط ساک میزنم پولی هم نیستم لطفاا کیر کلفت از شیراز دایرکت برای حضوری 🍆	0	1	1	spamobscene
کانال تلگرام سکسی فقط فیلم پورن بالای هجده سال عضو بشن لینک بیو	0	1	1	spamobscene
تکرار ساعت چنده ندیدم	0	0	0	clean
تصویری کیر زنده 💦 خصیوصی داایرکت 💦 ااتیشیاا سریع بیاان برناامه دااریم بدوو 💦 خودت یکیش کن اانتخااب 🍆	0	1	1	spamobscene
تکرارش امروز ساعت چنده	0	0	0	clean
پایه های شهوتی بیان دایرکت براتون سورپرایز دارم 🔥 🥒 👅 💦 🍆	0	1	1	spamobscene
کیر من بازتابش بیشترع 🔥 🔥	0	0	1	obscene
محصوللات پیج جنسی 💦 🍑	0	1	1	spamobscene
ببخشیدتوخداشررمنده ولی نگم یجوررایی کهیررمیزنم این معلوم علاقه به خورردوخورراک دارره خوب میخورره لب ودهنش سکسیه خوب اینکاررامیکنیدمیبررند جررتون میدندرروی تخت فقط بدرردلذت جنسی میخورره بایداینومیگفتم 😢 😢 💦	0	1	1	spamobscene
سلام دوستای گلم امیدوارم حال دل تون خوب باشه من اومدم با پیج شب جمعه میخوام کمک کنید با فالو کردن لایک کردن و کامنت گذاشتن ویدئو های جذابی میزارم از پلنگا بیاید دیدن کنید و حالشو ببرید در ضمن تو پیجم کانال تلگرام مون رو گذاشتم که کلی فیلم های سسکی هست و خوب قلقلکت میده از دست نده زود بیا تو پیجم و کلی لذت ببر 😋 😋 💦 💦 🍑 🍑 👅 👅	0	1	1	spamobscene
سلام عشقا خوبین یه پپسر تنهام دنبال یه خانوم یا یه دختر برای رابطه دوستی مجازی میگردم یه رابطه پپنهون اووم بوس رو لباات عشقم یه خانوم که بشم میخواد گوشه گیرش دلش باهم خوش باشیم تا از تنهایی تو خونه در بیاد حالش عوض بشه بیاد دایرکت ادم شوخ طبیعم و ادم گرمیم هستم یکی که تنهاس بیاد دایرکت از تنهایی در بیاییم اووم بوس رو گردنت عزیزم فقط میخوام پپنهون باشه و خیالتم راحت باشه عشقم یه خانوم بیاد دایرکت 🍑	0	1	1	spamobscene
بی غیرت دایرکت عکس نشون هم بدیم حال کنیم 🍑 🍆	0	1	1	spamobscene
برهنگی فرهنگی فرهنگ برهنگی	1	0	1	hateobscene
عه یادم رفت تکرار ساعت چنده	0	0	0	clean
